scale,theme,layer,default
50,cultural,admin_0_boundary_lines_maritime_indicator,FALSE
50,cultural,admin_0_boundary_lines_maritime_indicator_chn,FALSE
50,cultural,admin_0_boundary_map_units,FALSE
50,cultural,admin_0_breakaway_disputed_areas,FALSE
50,cultural,admin_0_breakaway_disputed_areas_scale_rank,FALSE
50,cultural,admin_0_countries,TRUE
50,cultural,admin_0_countries_lakes,FALSE
50,cultural,admin_0_disputed_areas,FALSE
50,cultural,admin_0_map_subunits,FALSE
50,cultural,admin_0_map_units,FALSE
50,cultural,admin_0_pacific_groupings,FALSE
50,cultural,admin_0_scale_rank,FALSE
50,cultural,admin_0_sovereignty,FALSE
50,cultural,admin_0_tiny_countries,FALSE
50,cultural,admin_0_tiny_countries_scale_rank,FALSE
50,cultural,admin_1_seams,FALSE
50,cultural,admin_1_sel,FALSE
50,cultural,admin_1_states_provinces,FALSE
50,cultural,admin_1_states_provinces_lakes,FALSE
50,cultural,admin_1_states_provinces_lines,TRUE
50,cultural,admin_1_states_provinces_scale_rank,TRUE
50,cultural,airports,FALSE
50,cultural,populated_places,FALSE
50,cultural,populated_places_simple,FALSE
50,cultural,ports,FALSE
50,cultural,urban_areas,FALSE
50,physical,antarctic_ice_shelves_lines,FALSE
50,physical,antarctic_ice_shelves_polys,FALSE
50,physical,coastline,FALSE
50,physical,geographic_lines,FALSE
50,physical,geography_marine_polys,FALSE
50,physical,geography_regions_elevation_points,FALSE
50,physical,geography_regions_points,FALSE
50,physical,geography_regions_polys,FALSE
50,physical,glaciated_areas,FALSE
50,physical,graticules_all/ne_50m_graticules_1,FALSE
50,physical,graticules_all/ne_50m_graticules_10,FALSE
50,physical,graticules_all/ne_50m_graticules_15,FALSE
50,physical,graticules_all/ne_50m_graticules_20,FALSE
50,physical,graticules_all/ne_50m_graticules_30,FALSE
50,physical,graticules_all/ne_50m_graticules_5,FALSE
50,physical,graticules_all/ne_50m_wgs84_bounding_box,FALSE
50,physical,lakes,TRUE
50,physical,lakes_historic,FALSE
50,physical,land,TRUE
50,physical,ocean,FALSE
50,physical,playas,FALSE
50,physical,rivers_lake_centerlines,FALSE
50,physical,rivers_lake_centerlines_scale_rank,TRUE
110,cultural,admin_0_boundary_lines_land,TRUE
110,cultural,admin_0_countries,TRUE
110,cultural,admin_0_countries_lakes,FALSE
110,cultural,admin_0_map_units,FALSE
110,cultural,admin_0_pacific_groupings,FALSE
110,cultural,admin_0_scale_rank,FALSE
110,cultural,admin_0_sovereignty,FALSE
110,cultural,admin_0_tiny_countries,FALSE
110,cultural,admin_1_states_provinces,FALSE
110,cultural,admin_1_states_provinces_lakes,FALSE
110,cultural,admin_1_states_provinces_lines,TRUE
110,cultural,admin_1_states_provinces_scale_rank,TRUE
110,cultural,populated_places,FALSE
110,cultural,populated_places_simple,FALSE
110,physical,coastline,FALSE
110,physical,geographic_lines,FALSE
110,physical,geography_marine_polys,FALSE
110,physical,geography_regions_elevation_points,FALSE
110,physical,geography_regions_points,FALSE
110,physical,geography_regions_polys,FALSE
110,physical,glaciated_areas,FALSE
110,physical,graticules_all/ne_110m_graticules_1,FALSE
110,physical,graticules_all/ne_110m_graticules_10,FALSE
110,physical,graticules_all/ne_110m_graticules_15,FALSE
110,physical,graticules_all/ne_110m_graticules_20,FALSE
110,physical,graticules_all/ne_110m_graticules_30,FALSE
110,physical,graticules_all/ne_110m_graticules_5,FALSE
110,physical,graticules_all/ne_110m_wgs84_bounding_box,FALSE
110,physical,lakes,TRUE
110,physical,land,TRUE
110,physical,ocean,FALSE
110,physical,rivers_lake_centerlines,TRUE
